Country,Query,Status,Match,Notes,ISO,Country.Name,WHO_Region
Afghanistan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,AFG,Afghanistan,EMRO
Afghanistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,AFG,Afghanistan,EMRO
Albania,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,ALB,Albania,EURO
Albania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,ALB,Albania,EURO
Algeria,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,DZA,Algeria,AFRO
Algeria,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,DZA,Algeria,AFRO
Andorra,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,AND,Andorra,EURO
Andorra,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,AND,Andorra,EURO
Angola,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,AGO,Angola,AFRO
Angola,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,AGO,Angola,AFRO
Antigua and Barbuda,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,ATG,Antigua and Barbuda,AMRO
Antigua and Barbuda,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No: GAI Provides Incorrect Information,,ATG,Antigua and Barbuda,AMRO
Argentina,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,ARG,Argentina,AMRO
Argentina,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,ARG,Argentina,AMRO
Armenia,1. Is there a law that requires routine childhood vaccination in ? ,New document identified - suggest excluding,No: GAI Provides Incorrect Information,,ARM,Armenia,EURO
Armenia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,ARM,Armenia,EURO
Australia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,AUS,Australia,WPRO
Australia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Provides Incorrect Information,law only for state,AUS,Australia,WPRO
Austria,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,AUT,Austria,EURO
Austria,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No: GAI Provides Incorrect Information,law only for certain workers,AUT,Austria,EURO
Azerbaijan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,AZE,Azerbaijan,EURO
Azerbaijan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,AZE,Azerbaijan,EURO
Bahamas,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Provides Incorrect Information,,BHS,Bahamas,AMRO
Bahamas,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,BHS,Bahamas,AMRO
Bahrain,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,BHR,Bahrain,EMRO
Bahrain,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,BHR,Bahrain,EMRO
Bangladesh,1. Is there a law that requires routine childhood vaccination in ? ,New document identified - suggest including,No: GAI Provides More Information,,BGD,Bangladesh,SEARO
Bangladesh,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,BGD,Bangladesh,SEARO
Barbados,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,BRB,Barbados,AMRO
Barbados,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Misses Information,,BRB,Barbados,AMRO
