Country,Query,Status,Excluding.AMP,Difference.after.excluding.AMP,Match,Streamlined_Match,AMP.Cited,Concordance,ISO,Country.Name,WHO_Region
Afghanistan,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AFG,Afghanistan,EMRO
Afghanistan,2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AFG,Afghanistan,EMRO
Afghanistan,3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,AFG,Afghanistan,EMRO
Afghanistan,4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AFG,Afghanistan,EMRO
Afghanistan,5. Allow for to isolation of contacts?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AFG,Afghanistan,EMRO
Afghanistan,6. What level of government quarantines?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AFG,Afghanistan,EMRO
Afghanistan,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AFG,Afghanistan,EMRO
Afghanistan,8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AFG,Afghanistan,EMRO
Albania,2. What level of government isolates?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,ALB,Albania,EURO
Albania,1. What law allows the government to isolate?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,ALB,Albania,EURO
Albania,3. Isolation enforcement mechanisms?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,ALB,Albania,EURO
Albania,5. Allow for to isolation of contacts?,New document identified - suggest including,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,ALB,Albania,EURO
Albania,4. Does the law limit isolation to a list?,New document identified - suggest including,,,Yes,Yes,,Yes,ALB,Albania,EURO
Albania,6. What level of government quarantines?,New document identified - suggest including,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,ALB,Albania,EURO
Albania,7. Quarantine enforcement mechanisms?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,ALB,Albania,EURO
Albania,8. Does the law limit quarantine to a list?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,ALB,Albania,EURO
Algeria,1. What law allows the government to isolate?,No relevant documents identified,Screenshot 2024-09-12 at 1.33.49 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/s7UzLrDp10-l0VkL_KyWQg/lvLKe2JH-QaelgYPrNPRl86B720PEJdduVKXB-G93MtBUMpZBSzSgk7mk9l-A3zNk1zNbX2wsfNTKSzGt8rdTdLGxDWlJI5W8AEkYmmsaBKYjrxhfIhihAve86OQqO8YLIwhiyzFcthpIfLvMxmn_yoZABUs6Zk2ez21o0TDaI1l3inVgd5zgW7gOXxNgcAt/293AdYgJnQKenggANgfIRU_telFHM2tISIj3ZMp6VR0),Major difference,No - AI misses info found by human,No,checked,No: GAI Misses Information,DZA,Algeria,AFRO
