Country,Query,Status,Excluding AMP,Difference after excluding AMP,Match,Streamlined_Match,AMP Cited
Afghanistan,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,
Afghanistan,2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,
Afghanistan,3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Afghanistan,4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,
Afghanistan,5. Allow for to isolation of contacts?,No relevant documents identified,,,No - AI misses info found by human,No,
Afghanistan,6. What level of government quarantines?,No relevant documents identified,,,No - AI misses info found by human,No,
Afghanistan,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,
Afghanistan,8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI misses info found by human,No,
Albania,2. What level of government isolates?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Albania,1. What law allows the government to isolate?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Albania,3. Isolation enforcement mechanisms?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Albania,5. Allow for to isolation of contacts?,New document identified - suggest including,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,
Albania,4. Does the law limit isolation to a list?,New document identified - suggest including,,,Yes,Yes,
Albania,6. What level of government quarantines?,New document identified - suggest including,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,
Albania,7. Quarantine enforcement mechanisms?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Albania,8. Does the law limit quarantine to a list?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Algeria,1. What law allows the government to isolate?,No relevant documents identified,Screenshot 2024-09-12 at 1.33.49 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/s7UzLrDp10-l0VkL_KyWQg/lvLKe2JH-QaelgYPrNPRl86B720PEJdduVKXB-G93MtBUMpZBSzSgk7mk9l-A3zNk1zNbX2wsfNTKSzGt8rdTdLGxDWlJI5W8AEkYmmsaBKYjrxhfIhihAve86OQqO8YLIwhiyzFcthpIfLvMxmn_yoZABUs6Zk2ez21o0TDaI1l3inVgd5zgW7gOXxNgcAt/293AdYgJnQKenggANgfIRU_telFHM2tISIj3ZMp6VR0),Major difference,No - AI misses info found by human,No,checked
Algeria,2. What level of government isolates?,No relevant documents identified,Screenshot 2024-09-12 at 1.36.29 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/FeQkwIP1764wpORqzJsRjA/fhJS4Os88ibufMkighnLH1EWj6wQBQkDINClig3fc_32ABc2Ijtn_ZIp-xxXhPjuqEZqaj0KA-yVuSg-v7RX0iCGWGa1e3MmoHRT77QSsYa4aDMU2Sgeo7WAicfXe43gys51LwV5Zl6Ecevt42TJiJ6reKjxhbVOmqnL2Xwy6xNU7cbpdYBtbxZ1NbxABNEs/0MkxbVAZPv4-FJPd0rk9Ig2iTRD-Ug8cEIDrjaEtfUE),Major difference,No - AI misses info found by human,No,checked
Algeria,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Algeria,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Algeria,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,
Algeria,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,
Algeria,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Algeria,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Andorra,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,
Andorra,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,
Andorra,3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,
Andorra,4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,
Andorra,5. Allow for to isolation of contacts?,No relevant documents identified,,,No - AI misses info found by human,No,
Andorra,6. What level of government quarantines?,No relevant documents identified,,,No - AI misses info found by human,No,
Andorra,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,
Andorra,8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI misses info found by human,No,
Angola,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,
Angola,2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,
Angola,3. Isolation enforcement mechanisms?,New document identified - suggest excluding,,,No - AI misses info found by human,No,
Angola,4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,
Angola,5. Allow for to isolation of contacts?,No relevant documents identified,,,"Exact match in answer, but no law found",No,
Angola,6. What level of government quarantines?,No relevant documents identified,,,"Exact match in answer, but no law found",No,
Angola,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Angola,8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI provides wrong info,No,
Antigua and Barbuda,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,
Antigua and Barbuda,2. What level of government isolates?,New document identified - suggest excluding,Screenshot 2024-09-12 at 1.38.29 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/wTvO2vYGANkD2FHh3Ggeuw/yp_rLhfaGYf5NpaYuSJfZSjqeSbaqvMHivxQsEW6tFEzqy9VQkminN_R1eCOxyS_D8dD16sHAUPfmWPR-osUf_zzjrCeMb-lmySY3DADaMQJqg3X-0CcrPMH7YFEmYQtBXm3Jn66EXbv43MYX5BDukMj2BVpxQtsm3wrrUxooKSSsRORRPBgSMw8Jvk5YgD4/CNefE6EMY1dP7gNM_aHhLjlGJjOf_FNcEHepUM0nG3g),No major difference,No - AI provides wrong info,No,checked
