Citation,Parent Statute,Source,Chapter,Document Type,File,url (from File),PDF (from File),Date Last Updated (from File),Date Originally Published (from File),Entity Empowered,Triggering Event,Describe Health Emergency,Location,Military Involvement (Federal),Preliminary Screening,Funding Stream Description,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Funding Stream?,Waiver Authority,Plans & Strategies,State Trigger,Document Description,Note,Powers Invoked
42 U.S.C. § 4625,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,,"Health Emergency,Presidential Emergency Declarations,Act of War,Natural Disaster","Due to a geographical outbreak individuals may have to relocate, and this section lifts limitations on relocation.",Domestic,No,,,,,,,,No,The requirement to give displaced people a reasonable chance to move to a comparable dwelling is waived in a national emergency declared by the President.,*not sure about agency empowered*,
",Waiver",,,,,,,,,,,,,,,,,,,,,,,,,
49 U.S.C. § 47152,National emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Transportation,NEA Emergency Declaration,There must be a declared national emergency under the NEA. ,Domestic,Yes - Subject to Posse Comitatus,Include,,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,Yes,,Not applicable,"The Secretary of Transportation can use, control, or take possession of any part of a public airport on surplus government property during a national emergency declared by the President or Congress.",,Waiver
50 U.S.C. § 1706,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,,"Act of War,Terrorism,Presidential Emergency Declarations",N/A,International,No,Exclude,,,,,,,No,Foreign assets frozen under IEEPA can remain frozen even after the national emergency ends if needed for dealing with claims involving the country or its nationals.,*not sure about agency empowered*,
",",,,,,,,,,,,,,,,,,,,,,,,,,
Executive Order 13618,,Executive Order,,Executive Order,Executive Order 13618,https://www.govinfo.gov/content/pkg/FR-2012-07-11/pdf/2012-17022.pdf,2012-17022.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/NtE7SyqpOb0Kc604rvuzCg/pxZMyhLKv3jFeFq1i2b3qajl6vqKbv5HOEcnLBU0-mXGgTArJ20egFYh46ekBvTXwHVCbx21G9eBYOwS2LqJ1r-y53MNUCUrkTgIDum2wSsmLzeMdyDccjv9q94UvxPL-2D3zw3UmjYYqtXQRmROYQ/MKl9VHEd8pWfFczjrERYEUTf45kt_H-ShrIsZNSE1wc),,7/6/12,,No triggering event - Capacity Building,N/A,Domestic,No,Include,,,,,,,No,"This EO was designed to create a secure and resilient communication system to be used during national security and emergency situations. The Director of the Office of Science and Technology Policy (OSTP) is tasked with overseeing efforts to reform this system and advise the President on the initiative. The order also create an Executive Committee of NS/EP Communications co-chaired by the Department of Defense (DoD) and Homeland Security (DHS), as well as a Joint Program Office under DHS to support activities related to the committee. DoD is additionally tasked with developing NS/EP communications systems that affect national security and include communications with the President, Vice President or national senior leadership. ",*doesn't empower/specify which agencies,Communications
42 U.S.C. § 17903,Health Information Technology - Study and Reports,PNNL,,Legislation,42 U.S.C. 17903,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap156-subchapI-sec17903.pdf,USCODE-2022-title42-chap156-subchapI-sec17903.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/FKw7n6tsgoGPWgUsSqF_pA/g1Dkpu_GfJqJeI-23B0xrXmI5924NAZgsVHKSNLKZjORtrsV4t1uyKsq36XV2x8gnJh7WT3A8d7P87CuDHy-61JHKRZ5FM_80vg-zNNTfmm92ieGeBqajQUAvAwtzV1BUD2XQAzZ1xIjRxZcn4H8CdSKDpOXwXpmKRxS4GXwgi1hoC1LL00nuOq64MLN8abEMgECbwzn0rg50-TUdWMlkg/TWxBps-GGc2Jb4JroeZwKqYEqUzsLTyxCdhgNQ6S3_k),2/17/09,2/17/09,Department of Health and Human Services,No triggering event - Capacity Building,,Domestic,No,Include,Appropriates funds for the creation and maintenance of an annual report on this system/process.,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Yes,No,,Not applicable,Requires HHS to submit annually a report that describes the actions taken by the USFG and private entities to facilitate the adoption of a nationwide system for the electronic use and exchange of health information; describes barriers to adoption of such a system; and contains recommendations to achieve full implementation of this system. ,,Research and Development
Executive Order 13618,,Executive Order,,Executive Order,Executive Order 13618,https://irp.fas.org/offdocs/eo/eo-13618.pdf,eo-13618.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/1576WFYl4CsxByNAYOPyCQ/GCsZRNefEZyAY_eNohQqJoZIwNcoMk3M7_OuQeGNE7KfKQm3vJyhb9XxBK4In5tUVNu790E-kDPeEX25X-VxEMa0elCRFOr90EdqoIQB_kFr7ZRZWKIEKLjKE2QkGQNmqSk-VKNWkjWfgp6P4N1HaRzhSmjuC7XIpQ6qLaiv0V0/BZZKfha4vaATYdaUrL4ikBezpR2J8p63cXJoNrUKjZA),,7/6/12,"Department of State,Department of Defense,Department of Justice,Department of Commerce,Department of Homeland Security,Federal Communications Commission,General Services Administration",No triggering event - Capacity Building,N/A,Domestic,Yes - Subject to Posse Comitatus,Include,,,,,,,No,This EO assigns responsibilities to various departments to ensure a coordinated response in national security and emergency preparedness (NS/EP) situations. ,,"Mission Assignment/Response Coordination,Response Leadership"
42 U.S.C. § 1395dd (a),Examination and treatment for emergency medical conditional and women in labor (EMTALA),EMTALA,,Legislation,Examination and treatment for emergency medical conditional and women in labor (EMTALA),https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/lweK9G2o8GAJhPvsZTpBzg/vFOTvLrOqEykW2SazQieSaCughi9HlcHwagjeoHPJI-dvSDg-a9N2LPiMX4c_9JtAC0ZaxZxMaUkO6FAr0uJ6R00gFPxEPGU8JQUhJZyYfn62HMbZJS3i5V9RWbblsNbj5JJ4lTTmveZ-y8kUCj9VDUpsfxGEg_vka0hKnK8s10s30JWmK250B8PgcmNNr-7TBktogllogUiqzmoCgAerk9i2I0s1hm4Q9YprybxD7U/UtV2d3AdSog5f_vG45o4RJZX6cwFBKtMZj5U3nXeuxQ),1/1/22,4/7/86,Department of Health and Human Services,Hospital Receives Federal Funding,,Domestic,No,Include,,,Scenario 1,,,,Not applicable,"This provision states that, any individual that seeks care in a federally funded hospital with an emergency department must be examined to determine if the individual seeking care has an emergency medical condition. This appropriate screening must take place regardless of an individual's insurance status. ",,"Provision of Medical Care,Health and Safety Regulations"
42 U.S.C. § 1395dd (b)(1),Examination and treatment for emergency medical conditional and women in labor (EMTALA),EMTALA,,Legislation,Examination and treatment for emergency medical conditional and women in labor (EMTALA),https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/lweK9G2o8GAJhPvsZTpBzg/vFOTvLrOqEykW2SazQieSaCughi9HlcHwagjeoHPJI-dvSDg-a9N2LPiMX4c_9JtAC0ZaxZxMaUkO6FAr0uJ6R00gFPxEPGU8JQUhJZyYfn62HMbZJS3i5V9RWbblsNbj5JJ4lTTmveZ-y8kUCj9VDUpsfxGEg_vka0hKnK8s10s30JWmK250B8PgcmNNr-7TBktogllogUiqzmoCgAerk9i2I0s1hm4Q9YprybxD7U/UtV2d3AdSog5f_vG45o4RJZX6cwFBKtMZj5U3nXeuxQ),1/1/22,4/7/86,Department of Health and Human Services,Hospital Receives Federal Funding,,Domestic,No,Include,,,Scenario 1,,,,Not applicable,"In the case that an individual arrives at a federally funded hospital with an emergency department and is determined to have an emergency medical condition, the hospital is obligated to provide stabilizing treatment at the hospital and/or transfer of the individual to another medical facility. Guidelines for the transfer of patients is governed under 42 U.S.C. § 1395dd (c). Stabilizing care and/or transfer must be provided by the hospital regardless of patient insurance status. ",,"Provision of Medical Care,Health and Safety Regulations"
