Country,Query,Status,Match,AMP Cited
Afghanistan,1. What law allows the government to isolate?,No relevant documents identified,AI info was not relevant,
Afghanistan,2. What level of government isolates?,No relevant documents identified,AI info was not relevant,
Afghanistan,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI provides additional info missed by human,
Afghanistan,4. Does the law limit isolation to a list?,No relevant documents identified,AI info was not relevant,
Afghanistan,5. Allow for to isolation of contacts?,No relevant documents identified,AI info was not relevant,
Afghanistan,6. What level of government quarantines?,No relevant documents identified,AI info was not relevant,
Afghanistan,7. Quarantine enforcement mechanisms?,No relevant documents identified,AI info was not relevant,
Afghanistan,8. Does the law limit quarantine to a list?,No relevant documents identified,AI info was not relevant,
Albania,2. What level of government isolates?,New document identified - suggest including,,
Albania,1. What law allows the government to isolate?,New document identified - suggest including,No - AI provides additional info missed by human,
Albania,3. Isolation enforcement mechanisms?,New document identified - suggest including,No - AI provides additional info missed by human,
Albania,5. Allow for to isolation of contacts?,New document identified - suggest including,"AI provides correct info, human was entirely wrong",
Albania,4. Does the law limit isolation to a list?,New document identified - suggest including,Yes,
Albania,6. What level of government quarantines?,New document identified - suggest including,"AI provides correct info, human was entirely wrong",
Albania,7. Quarantine enforcement mechanisms?,New document identified - suggest including,No - AI provides additional info missed by human,
Albania,8. Does the law limit quarantine to a list?,New document identified - suggest including,No - AI provides additional info missed by human,
Algeria,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,checked
Algeria,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,checked
Algeria,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Algeria,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Algeria,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Algeria,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Algeria,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Algeria,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Andorra,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Andorra,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Andorra,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Andorra,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Andorra,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Andorra,6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Andorra,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Andorra,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Angola,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Angola,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Angola,3. Isolation enforcement mechanisms?,New document identified - suggest excluding,No - AI misses info found by human,
Angola,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Angola,5. Allow for to isolation of contacts?,No relevant documents identified,"Exact match in answer, but no law found",
Angola,6. What level of government quarantines?,No relevant documents identified,"Exact match in answer, but no law found",
Angola,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI provides additional info missed by human,
Angola,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI provides wrong info,
Antigua and Barbuda,1. What law allows the government to isolate?,Identified document(s) already in Airtable,No - AI misses info found by human,
Antigua and Barbuda,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,checked
Antigua and Barbuda,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Antigua and Barbuda,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,checked
Antigua and Barbuda,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Antigua and Barbuda,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Antigua and Barbuda,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,No - AI misses info found by human,checked
Antigua and Barbuda,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Argentina,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Argentina,2. What level of government isolates?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
Argentina,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,No - AI provides wrong info,
Argentina,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Argentina,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Argentina,6. What level of government quarantines?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
Argentina,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Argentina,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Armenia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,No - AI provides additional info missed by human,
Armenia,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Armenia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,No - AI provides wrong info,
Armenia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Armenia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,No - AI provides additional info missed by human,
Armenia,6. What level of government quarantines?,New document identified - suggest including,No - AI provides wrong info,
Armenia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,No - AI misses info found by human,
Armenia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Australia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Australia,2. What level of government isolates?,Identified document(s) already in Airtable,,
Australia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,
Australia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Australia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Australia,6. What level of government quarantines?,Identified document(s) already in Airtable,,
Australia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,
Australia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,
Austria,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Austria,2. What level of government isolates?,Identified document(s) already in Airtable,No - AI provides wrong info,
Austria,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Austria,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Austria,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Austria,6. What level of government quarantines?,Identified document(s) already in Airtable,No - AI provides wrong info,
Austria,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Austria,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Azerbaijan,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Azerbaijan,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Azerbaijan,3. Isolation enforcement mechanisms?,New document identified - suggest including,AI info was not relevant,
Azerbaijan,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
Azerbaijan,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Azerbaijan,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Azerbaijan,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Azerbaijan,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Bahamas,1. What law allows the government to isolate?,New document identified - suggest including,No - AI provides additional info missed by human,
Bahamas,2. What level of government isolates?,New document identified - suggest including,Yes,
Bahamas,3. Isolation enforcement mechanisms?,New document identified - suggest including,Yes,
Bahamas,4. Does the law limit isolation to a list?,New document identified - suggest including,Yes,
Bahamas,5. Allow for to isolation of contacts?,New document identified - suggest including,Yes,
Bahamas,6. What level of government quarantines?,New document identified - suggest including,Yes,
Bahamas,7. Quarantine enforcement mechanisms?,New document identified - suggest including,Yes,
Bahamas,8. Does the law limit quarantine to a list?,New document identified - suggest including,Yes,
Bahrain,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Bahrain,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,checked
Bahrain,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Bahrain,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,checked
Bahrain,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",checked
Bahrain,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,checked
Bahrain,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
Bahrain,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
Bangladesh,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Bangladesh,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Bangladesh,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
